Restaurant_Name,Rating,Cuisine_Type,Cost_for_one,Delivery_time,Offers,Restaurant_url
McDonald's,4.4,"Burger, Wraps, Fast Food, Beverages",₹200 for one,18 min,No Offers,https://www.zomato.com/ncr/mcdonalds-1-connaught-place-new-delhi/order
KFC,4.1,"Burger, Rolls, Fast Food",₹200 for one,36 min,No Offers,https://www.zomato.com/ncr/kfc-2-paharganj-new-delhi/order
Pizza Hut,4.0,"Pizza, Fast Food, Italian, Desserts, Beverages",₹250 for one,34 min,20% OFF,https://www.zomato.com/ncr/pizza-hut-1-karol-bagh-new-delhi/order
La Pino'z Pizza,4.0,"Pizza, Italian, Pasta, Fast Food, Desserts, Beverages",₹250 for one,29 min,₹150 OFF,https://www.zomato.com/ncr/la-pinoz-pizza-karol-bagh-new-delhi/order
The Burger Club,4.0,"Burger, Fast Food, Coffee, Beverages",₹350 for one,25 min,₹150 OFF,https://www.zomato.com/ncr/the-burger-club-1-connaught-place-new-delhi/order
Burger Singh - Big Punjabi Burgers,4.2,"Burger, Fast Food, Momos, Beverages, Desserts",₹150 for one,19 min,₹125 OFF,https://www.zomato.com/ncr/burger-singh-big-punjabi-burgers-connaught-place-new-delhi/order
Haldiram's,4.0,"North Indian, Chinese, South Indian, Sandwich, Pasta, Desserts, Beverages",₹200 for one,37 min,₹50 OFF,https://www.zomato.com/ncr/haldirams-paharganj-new-delhi/order
Kwality Wall's Ice Cream And More,4.5,"Ice Cream, Desserts",₹100 for one,30 min,₹150 OFF,https://www.zomato.com/ncr/kwality-walls-ice-cream-and-more-6-karol-bagh-new-delhi/order
RollsKing,4.1,"Rolls, North Indian, Beverages, Fast Food",₹150 for one,19 min,No Offers,https://www.zomato.com/ncr/rollsking-2-connaught-place-new-delhi/order
Wendy's Burgers,4.3,"Burger, Fast Food, American",₹150 for one,38 min,20% OFF,https://www.zomato.com/ncr/wendys-burgers-rajendra-place-new-delhi/order
Veer Ji Malai Chaap Wale,4.1,"North Indian, Rolls, Momos, Biryani, Chinese, Shake, Beverages",₹200 for one,38 min,Flat 15% OFF,https://www.zomato.com/ncr/veer-ji-malai-chaap-wale-defence-colony-new-delhi/order
