user_name,numberOfReviews,user_follower,star_rating,time_of_posting ,votes,review,review_type
Peeyush Agarwal,0 reviews,0 Followers,1,yesterday,"0 Votes for helpful, 0 Comments",not delivered order,DELIVERY
Megha Jain,0 reviews,1 Followers,1,10 days ago,"0 Votes for helpful, 0 Comments",very bad experience cheese is rotten,DELIVERY
Gaurav,0 reviews,0 Followers,5,10 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Gaurav Christian,0 reviews,1 Followers,1,11 days ago,"0 Votes for helpful, 0 Comments","terrible packing, pizzq stuck to the pizzq box and did not even send a carry bag",DELIVERY
Mohd Kasim,0 reviews,0 Followers,2,13 days ago,"0 Votes for helpful, 0 Comments",cost bhot jayada hai,DELIVERY
SWAGATA MOHAPATRA,0 reviews,1 Followers,5,26 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Nitisha Pande,0 reviews,1 Followers,4,27 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Sanjana Nayak,0 reviews,0 Followers,5,28 days ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Shantanu,0 reviews,17 Followers,1,30 days ago,"0 Votes for helpful, 0 Comments",I received a wrong pizza.,DELIVERY
Vikas Bhardwaj,0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",I ordered stuffed garlic bread and the sent garlic breadsticks. It was utter and complete disappointment.,DELIVERY
Vanamali Gowthami,0 reviews,0 Followers,5,one month ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Manita Kumari,0 reviews,0 Followers,1,one month ago,"1 Helpful vote, 0 Comments",we got different pizza. very bad experience and you can't contact the store coz they have given wrong number.,DELIVERY
Sawan Yaduvanshi,0 reviews,0 Followers,5,one month ago,"0 Votes for helpful, 1 Comment",,DELIVERY
Akanksha Chauhan,0 reviews,0 Followers,1,one month ago,"0 Votes for helpful, 0 Comments",pizza not good as per prize,DELIVERY
Arjun Singh Negi,0 reviews,0 Followers,3,2 months ago,"0 Votes for helpful, 0 Comments",not too delicious for garlic bread and veg parcel stuffing was lesser,DELIVERY
Avinash Sappidi,0 reviews,12 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Tanya Yadav,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments","sooooo delicious 😋 , fresh cheese toppings well given",DELIVERY
Kruthi,0 reviews,0 Followers,2,2 months ago,"0 Votes for helpful, 0 Comments",Too much salty,DELIVERY
Satish Prajapati,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",very bad quality,DELIVERY
Vrinda Sharma,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Aarti Lamba,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Gagandeep Kaur,0 reviews,0 Followers,3,2 months ago,"0 Votes for helpful, 2 Comments","no mayo or filling inside, too blank",DELIVERY
Tanvi Khanna,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Achu2312,0 reviews,1 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Drishti,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Abhishek Singh,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",Bad delivery experience and food quality. Please serve the food nicely. Else don't accept the order.,DELIVERY
Kruthi,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Godfrey,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Manoj Kumar,0 reviews,1 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments","Delayed delivery. Chat support said delay coupon would be given which can be claimed after delivery. But then after delivery, the chat assistant refused to give any coupons.

Please look into this blatant misinformation being communicated to customers.",DELIVERY
Hrishikesh,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments","The service from the store was horrible, as they wouldn’t pick up even the call to say the order will be delivered after a delay of 1.5hrs",DELIVERY
Yukta Keer,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",Kindly provide 4-5 sachets of villi flecks and oregano,DELIVERY
Vijay,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Afaque Jawaid,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Anjali,0 reviews,1 Followers,4,2 months ago,"0 Votes for helpful, 0 Comments",peri peri chicken lacked peri peri,DELIVERY
Dhananjay Aneja,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
UDIT KAPAHI,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Prachi Sharma,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Vishnu,0 reviews,0 Followers,4,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
